| ئاخفتنخوەش | وەسف (هەڤالناڤ) | ئەو کەسێ کو پەیڤێن وی وەک هنگیڤی نە. |
| بەخشین | کار (چاوگ) | لێخۆشبوونە ژ خەلەتیێن خەلکی، یان دانا تشتەکییە بێی بەرامبەر. |
| بەخیل | وەسف (هەڤالناڤ) | دەستێ وی یێ گرێدایە، حەز ژ کۆمکرنا پارەی دکەت و دل نادەت مەزاختنێ بکەت. |
| بەدەن | ئەندامێ لەشی | لەشێ مرۆڤییە ژ سەر هەتا پێیان، کو گیان تێدا دژیت. |
| بەر | سرۆشت | ل چیا و دەشتان یێ هەی، یێ ڕەقە. |
| بەرامبەر | جھ | ڕووی ب ڕووی تە یە. |
| بەران | گیانەوەر | نێرێ پەزی یە، شاخێن وی یێن باداینە. |
| بەراھی | جھ | دەستپێکا ڕێکێ یان ل پێشیا هەمی کەسانە، ئەو جهێ کو زیتر دهێتە دیتن. |
| بەربانگ | دەم | دەمێ ژبەری ڕۆژهەلاتنێ یە، کو ڕووناهی ل ئەسمانی پەیدا دبیت. |
| بەربەست | پەیڤێن گشتی | دیوار یان ئاستەنگەکە د ڕێکێ دا، نەهێلیت تو ب ساناهی دەرباس ببی. |
| بەربژێر | پەیڤێن گشتی | کەسەکە کو خۆ ل سەر پۆستەکی هەلبژارتییە. |
| بەرپرس | پیشە | خودان دەسەڵاتە ل سەر کارەکی یان کۆمەکا مرۆڤان |
| بەرپێک | کار (چاوگ) | دەمێ کەسەک پیێن خوە ددەینتە بەر پێن تە و تو خوار دبی دا بکەڤی. |
| بەرتەنگ | وەسف (هەڤالناڤ) | جهەکێ کێم فرەهە، ب زەحمەت مرۆڤ تێدا دەرباس دبیت. |
| بەرتیل | ئابووری | پارەیەکێ نەدروستە ددەیە کەسەکێ دا کو کارەکێ قاچاخ یان نەیاسایی بۆ تە بکەت. |
| بەرچاڤک | کەلوپەل | چاڤان ژ ڕۆژێ دپارێزیت یان دیتنێ باشتر دکەت. |
| بەردەڤک | پیشە | ب ناڤێ کۆمەکێ یان دەزگەهەکێ باخڤیت، و دەنگێ وان دگەهینیتە خەلکی. |
| بەردەستبوون | کار (چاوگ) | دەمێ تشتەک یێ حازرە ل دەف تە و تو دشێی بکار بهینی. |
| بەردان | کار (چاوگ) | دەمێ تو دەستێ خوە ڤەدکەی و تشتەک ژ دەستێ تە دکەڤیتە خوارێ. |
| بەردەست | وەسف (هەڤالناڤ) | ئەو کەسێ دگەل هۆستای کار دکەت و هاریکارە، یان تشتێ حازر. |
| بەڕی | ڕووەک | دارەکە کو ل چیایان شین دبیت . |
| بەرزەبوون | کار (چاوگ) | دەمێ تشتەک یان کەسەک ل بەر چاڤان نامینیت . |
| بەرزە | وەسف (هەڤالناڤ) | تشتەکێ تە هنداکری، و چەند لێ دگەڕێیی چاڤێن تە نابینن. |
| بەرسڤ | پەیوەندی | دەمێ کەسەک پرسیارەکێ ژ تە دکەت و تو ڤێ ددەیێ. |
| بەرسنگ | ئەندامێ لەشی | دکەڤیتە پێشیا مرۆڤی و د بن ستووی دا، جهێ لێدانا دلییە. |
| بەرسۆژ | هەست | دەمێ زکێ تە دئێشیت و دسوژیت، پشتی خوارنا تشتێن ترش پەیدا دبیت. |
| بەرشیر | وەسف (هەڤالناڤ) | زارۆکەکێ گەلەک ساڤایە، هێشتا نان نەخوارییە و بتنێ شیری ڤەدخۆت. |
| بەفر | سرۆشت | وەکی پەمبی یا سپییە و یا سارە. |
| بەرفرە | وەسف (هەڤالناڤ) | جهەکێ گەلەک مەزنە، و نە تەنگە. |
| بەروڤاژی | پەیڤێن گشتی | دەمێ ئاراستەیا تشتەکێ دژایەتییا تشتەکێ دی دکەت یان پێچەوانە دبیت. |
| لبەرکرن | کار (چاوگ) | دەمێ تو جلان ل خوە دکەی. |
| بەرکەتی | وەسف (هەڤالناڤ) | تشتەک یان کەسەکێ بمفا یە. |
| بەرمایک | پەیڤێن گشتی | ئەو خوارنا کو پشتی تێربوونێ د سێنیێ دا دمینیت. |
| بەرھنگار | وەسف (هەڤالناڤ) | کەسێ کو خوە ددەتە بەر شولان یان ئاریشان، و دژی وان ڕادوەستیت بێ ترس. |
| بەرھەڤ | وەسف (هەڤالناڤ) | تشتێ حازر، دەمێ هەمی کار ب دوماهی هاتیین و ل هیڤییا بکارئینانێ یە. |
| بەرھەم | میوە | ئەو فێقییە کو دار ددەت، یان ئەو تشتێ ژ کار و وەستیانا تە پەیدا دبیت. |
| بەرھەڤکرن | کار (چاوگ) | دروستکرن و حازرکرنا خوارنێ یان جلوبەرگانە بەریا دەمێ پێدڤی. |
| بەروەخت | دەم | کرنا کارەکێ یە بەریا دەمێ وی یێ دروست بهێت. |
| بەروار | دەم | هژمارا ڕۆژ و هەیڤ و سالانە کو مێژوویا تشتان نیشان ددەت. |
| بەریک | جلوبەرگ | د ناڤ پانتۆل یان قەمیسێ تە دا یە، تو پارە و مۆبایلێ تێدا دپارێزی. |
| بەڕۆژ | جھ | ئەو لایێ چیا یان خانییە کو هەردەم تیشکا ڕۆژێ لێ ددەت و گەرمترە. |
| بەرێ | دەم | دەمێ بۆری یە، بەروڤاژییا نوکە یان پاشەڕۆژێ یە. |
| بەش | پێکهاتە | پارچەیەکە ژ تشتەکێ مەزنتر. |
| بەڵاڤ | وەسف (هەڤالناڤ) | تشتەکێ کو ل هەمی جهان هەی، نە یێ کۆمکرییە. |
| بەلا | پەیڤێن گشتی | ڕوودانەکا نەخۆشە یان موصیبەتەکە کو بسەرێ مرۆڤی دا دهێت بێی حەزا وی. |
| بەلاش | پەیڤێن گشتی | دەمێ تو تشتەکی وەردگری بێی کو چ پاران بدەی. |
| بەلاڤۆک | پەیوەندی | کاغەزەکە گەلەک زانیاری ل سەرن و ل ناڤ خەلکی دهێتە بەلاڤکرن. |
| بەڵاڤە | وەسف (هەڤالناڤ) | دەمێ خەلک یان تشت ل ئێک جھ نەبن و هەر ئێک ل جهەکێ بیت. |
| بەلەم | کەلوپەل | ل سەر ئاڤێ ب ڕێڤە دچیت. |
| بەندە | پەیڤێن گشتی | ئەو کەسێ کو هەر کارەک ژێ بهێتە خواستن دڤێت بکەت. |
| بەنداڤ | جھ | دیوارەکێ مەزنە ل پێشیا ئاڤێ دهێتە چێکرن دا کو ئاڤ کۆم ببیت. |
| بەندەوار | وەسف (هەڤالناڤ) | کەسێ کو چاڤەڕێی هاتنا تشتەکی یان کەسەکی بیت. |
| بەھرە | ئایین | شیانەکا تایبەتە کو خودێ ددەتە مرۆڤی، وەک دەنگخۆشی. |
| بەھرەمەند | وەسف (هەڤالناڤ) | ئەو کەسێ کو ژێهاتییە و شارەزایە د کارەکێ تایبەت دا ژبەر شیانێن خوە یێن سروشتی. |
| بەھی | ئایین | دەمێ کەسەک دچیتە بەر دلۆڤانییا خودێ، کەس و کار کۆم دبن. |
| بیاڤ | پەیڤێن گشتی | بابەتەکێ تایبەت، بۆ نموونە وەکی زانست یان وەرزش. |
| بیانی | وەسف (هەڤالناڤ) | کەسێ کو خەلکێ وەلاتێ تە نەبیت و ژ دەرڤە هاتبیت. |
| بیبەر | زەرزەوات | کەسکە، زەرە یان سۆرە، ئەگەر یا تیژ بیت دێ دەڤێ تە سوژیت. |
| بیر | پەیڤێن گشتی | پەرتووکا مێشکێ تە یە، هەر تشتێ تە د ژیانا خوە دا دیتبیت یان زانیبیت تێدا دهێتە هەلگرتن. |
| بیرچوون | کار (چاوگ) | دەمێ تشتەک ژ مێشکێ تە دەردکەڤیت و تو چەند هزر دکەی ناهێتە بیرا تە. |
| بیرھات | ناڤێ مرۆڤان | تشتەک یان ڕوودانەکە کو د مێشکێ تە دا مایە و تو هەردەم ببیرا خوە دئینیڤە. |
| بیرھاتن | کار (چاوگ) | دەمێ تشتەک دهێتە بیرا تە پشتی کو تە بۆ دەمەکێ ژبیرکربوو. |
| بیرۆڤ | نەخۆشی | نەخۆشییەکا پیستی یە، دێ پیستێ تە سوژیت و دخوریت. |
| بیڤەلەرز | سرۆشت | دەمێ ئەرد دبن پێیێن تە دا دهەژیت و خانی دکەڤنە لەرزینێ. |
| بێدەنگ | وەسف (هەڤالناڤ) | ئەو کەسێ یان ئەو جهێ کو چ دەنگ تێدا نەهێت و یێ ئارام بیت. |
| بێڕوح | وەسف (هەڤالناڤ) | ئەو کەسێ کو چ دلۆڤانی د دلێ وی دا نەبیت ل بەرامبەر نەخۆشیا خەلکی. |
| بێری | هەست | دەمێ دلێ تە بۆ کەسەکێ یان جهەکێ دویر دسوژیت. |
| بێریڤان | پیشە | ئافرەتا کو ل گوندی بەرێ خوە ددەتە پەزی و شیری ددۆشیت. |
| بێزار | وەسف (هەڤالناڤ) | دەمێ مێشک و دلێ تە ژ بارودۆخەکی یان کەسەکی تژی دبیت و حەز ب گۆهۆڕینێ دکەی. |
| بێزراڤ | وەسف (هەڤالناڤ) | کەسێ کو زویکا دترسیت. |
| بێژینگ | کەلوپەل | ئامانەکێ بن کونە، ئاریدکەنە تێدا، داکو پاقژ بکەن ژ پیساتیێ. |
| پاییز | دەم | وەرزێ بەری زڤستانێیە. |
| پاپۆڕ | کەلوپەل | مالەکا مەزنە ل سەر ئاڤێ ب ڕێڤە دچیت، دەریا و زەریا پێ دهێنە بڕین. |
| پاپۆڕڤان | پیشە | ئەو کەسێ کو ئاراستەیا گەمیێ یان کەشتیێ د دەستێ وی دا. |
| پاتە | کەلوپەل | پارچە قوماشەکە ژ جلان مایە، بۆ پاقژکرنا تۆز و پیساتیێ. |
| پاخل | ئەندامێ لەشی | دکەڤیتە د ناڤبەرا بەریک یان بەرسینگێ تە و جلێن تە دا، زارۆک ل وێرێ د حەون و گەرم دبن. |
| پار | دەم | سالەک ژبەری نۆکە یە، دەمەکێ بۆرییە و ئێدی چ جاران نازڤڕیت. |
| پاراستن | کار (چاوگ) | دەمێ تو کەسەکی یان تشتەکی ژمەترسیێ د پارێزی و خوە لێ دکەیە خودان. |
| پاراستی | وەسف (هەڤالناڤ) | تشتێ کو د جهەکێ ئارام دایە و چ مەترسی ل سەر نینن، و کەس نەشێت خراب بکەت. |
| پارچە | پێکهاتە | بەشەکە ژ تشتەکێ مەزنتر. |
| پانزین | پەیڤێن گشتی | ئاڤەکا زەرە یان شینە، بێی وێ تڕۆمبێلا تە نا لڤیت. |
| پانزینخانە | جھ | ئەو جهە یێ کو تڕۆمبێل دچنێ دا کوزکێ خوە ژ سووتەمەنیێ تێر بکەن. |
| پارە | کەلوپەل | تو حەز دکەی ب زۆری ل دەف تە هەبیت، تو هەمی تشتان بۆ خوە پێ دکڕی. |
| پارێز | پەیڤێن گشتی | دەمێ مرۆڤ قەلەو دبیت و هندەک خوارنان ناخۆت. |
| پارێزگار | پیشە | ئەو کەسێ کو سەرۆکییا باژێڕەکی یان پارێزگەهەکێ دکەت. |
| پارێزڤان | پیشە | ئەو کەسێ کو کارێ وی ئەوە چاڤێ وی ل کەسەکێ یان جهەکێ بیت و ژ دژمنان بپارێزیت. |
| پاری | خوارن | خوارنا ب ئەندازەیا دەڤێ مرۆڤی، کو تو ب دەستی دکەیە د دەڤێ خوە دا. |
| پازدە | ژمارە | ژمارەکە د ناڤبەرا دەھ و هەڤدێ دایە. |
| پاشا | ناڤێ مرۆڤان | ئەو کەسێ کو خودان دەسەڵاتەکا مەزنە ل سەر وەلاتەکی، و خەلک ل ژێر فەرمانا وی نە. |
| پاشڤەبرن | کار (چاوگ) | دەمێ تو کارێ ئەڤرۆ دهێلی بۆ سوباهی، یان دەمێ ژڤانەکی پاش دێخی بۆ دەمەکێ دی. |
| پاشکەڤتن | کار (چاوگ) | دەمێ تو ل دویڤ هەڤالێن خوە دکەڤی و نەشێی بگەهیە وان، یان وەلاتەکێ کو نە پێشکەفتی بیت. |
| پاشکەفت | ئابووری | هەلگرتنا پارەی یان تشتان بۆ دەمەکێ پێدڤی د پاشەڕۆژێ دا. |
| پاشەڕۆژ | دەم | دەمێ کو هێشتا نەهاتی، تو نزانی دێ چ ڕوودەت تێدا. |
| پاقژ | وەسف (هەڤالناڤ) | تشتێ کو چ قڕێژ و پیساتی پێڤە نەبن، بەروڤاژییا پیسیێ یە. |
| پالپشت | وەسف (هەڤالناڤ) | ئەو کەسێ کو ل پشتا تە دمینیت و تە ب تنێ ناهێلیت. |
| پالپشتی | پەیڤێن گشتی | ئەو هاریکاری و هێزە یا کو مرۆڤ ژ هەڤال و کەس و کاران وەردگریت. |
| پالدان | کار (چاوگ) | دەمێ تو پشت یان ملێ خوە ددەیە بەر دیوارەکی یان بالیفکەکێ. |
| پالە | پیشە | ئەو کەسێ کو ب هێزا ماسوولکەیێن خوە کار دکەت ژبۆ بدەستڤەئینانا پارەی. |
| پالەتی | پەیڤێن گشتی | ئەو کارێ بزەحمەتە یێ کو کرێکار یان جوتیار د ناڤ بیستاناندا دکەن. |
| پان | وەسف (هەڤالناڤ) | تشتەکێ کو یێ کورت و فرەھە، وەک دەشتەکێ. |
| پەحن | وەسف (هەڤالناڤ) | تشتەکێ کو ڕاست و فرەھە، وەک دەشتەکێ. |
| پایتەخت | باژێڕ | مەزنترین و گرنگترین باژێڕێ وەلاتەکی یە، کو حکومەت و پەرلەمان ل وێرێ نە. |
| پتات | زەرزەوات | خوارنەکا بن ئەردییە، تو دکەلینی یان دناڤ ڕۆنی و زەیتێدا سۆر دکەی. |
| پتپتی | وەسف (هەڤالناڤ) | ئەو کەسێ کو گەلەک بئاخڤیت. |
| پتپت | پەیوەندی | دەنگێ ئاخفتنێ یە ل بەر لێڤان کو نە یێ ڕوونە. |
| پچاندن | کار (چاوگ) | ڤەقەتیانا تشتەکی بێی مەبەست، کو دبیتە دوو یان چەند پارچەیێن کێم . |
| پچەک | وەسف (هەڤالناڤ) | تشتەکێ کێمە، کو نە یێ زۆر بیت. |
| پچیان | کار (چاوگ) | دەمێ تشتەک ددڕیت و دبیتە دوو یان چەند پارچەیێن کێم، نە ب حەزا تە بیت. |
| بیژی | پەیڤێن گشتی | ئەو زاڕۆکەیە یێ نە ب شەرعی ژ دایک بووی، یان ژی کەسێ زیرەک و تشتێن ژیرانە دکەت. |
| بێژن | پەیڤێن گشتی | ئەو زەلام و کەسەیە یێ کو ژن نەبیت. |
| بێژنی | پەیڤێن گشتی | بارودۆخ و ڕەوشا کو تێدا کەسەک بێ ژن دژیت و دەمێ خوە دبۆرینیت . |
| پەراسی | ئەندامێ لەشی | هەستیێن دۆرمادۆرێ سینگی و مێلاکێ دپارێزن. |
| پرت | پێکهاتە | پارچەیەکا گەلەک بچویکە ژ تشتەکی. |
| پرتکاندن | کار (چاوگ) | دەمێ تو پەرێن مریشکێ ژێ دکەی یان قوماشەکی هیر هیر دکەی. |
| پرچ | ئەندامێ لەشی | ل سەر سەرێ مرۆڤی شین دبیت، هندەک کەس دڕێژ دکەن و هندەک ژی دتڕاشن. |
| پڕ | وەسف (هەڤالناڤ) | دەمێ ئامانەک یان گلاسەک تژی دبیت و جهێ چ تشتێن دی تێدا نامینیت. |
| پتری | پەیڤێن گشتی | ژ نێڤی زێدەترە یان ژ تشتەکێ دی زۆرترە. |
| پڕبوون | کار (چاوگ) | دەمێ جهەک یان تشتەک هەتا تژی دبیت و ئێدی چ ناچیتە تێدا. |
| پڕبێژ | وەسف (هەڤالناڤ) | کەسێ کو گەلەک دئاخڤیت و دەڤێ وی ڕاناوەستیت ل سەر ئاخفتنێ. |
| پەرخاندن | کار (چاوگ) | شێلان و مێسەجکرنا لەشێ کەسەکێ یە ب ڕێکا دەستان. |
| گەمراندن | کار (چاوگ) | گڤاشتن و شێلانا لەشێ کەسەکێ ب ڕێکا دەستان. |
| پرس | ئایین | دەمێ کەسەک دچیتە بەر دلۆڤانییا خودێ و خەلک دچنە سەرەخۆشیێ ل مالا وی. |
| پرسیار | پەیوەندی | دەمێ تو تشتەکی نزانی و  بیژیە کەسەکێ دی دا بەرسڤێ بدەتە تە. |
| پستۆک | جلوبەرگ | بەشێ سەرڤە یێ قەمیسی یە کو ل دۆرمادۆرێ ستوویە. |
| پشت | ئەندامێ لەشی | دکەڤیتە لایێ پاشڤە یێ مرۆڤی، ل بەرامبەری سینگی یە. |
| پشتی | دەم | دەمێ کو ل دویڤ ڕوودانەکێ دهێت، بەروڤاژییا "بەری" یە. |
| پشک | پێکهاتە | ئەو بەش و پارچەیە یا کو ل دەمێ دابەشکرنێ دگەهیتە تە. |
| کوشپل | پەیڤێن گشتی | پیساتیا بزن و پەزیە. |
| پشکول | پەیڤێن گشتی | پاشمایێ پەز و بزنانە، وەک دندکێن ڕەش و بچویک دکەڤنە ئەردی. |
| پشیک | گیانەوەر | گیانەوەرەکێ مالی یە، حەز ژ مشکان دکەت. |
| پفدان | کار (چاوگ) | دەمێ تو بای ژ دەڤێ خوە دکەیە دەرڤە بۆ ڤەمراندنا ئاگری یان تژیکرنا پشتەکێ. |
